line_norm,label
jul    calvisitor---- blued[]: [bluetoothhiddevicecontroller]error: could not find the disconnected object,BluetoothError
jul    calvisitor---- wechat[]: unable to simultaneously satisfy constraints:,LayoutConstraint
jul    calvisitor---- preview[]: unable to simultaneously satisfy constraints:,LayoutConstraint
jul    authormacbook-pro qq[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    authormacbook-pro neteasemusic[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    calvisitor---- qq[]: unable to simultaneously satisfy constraints:,LayoutConstraint
jul    airbears2---- wechat[]: unable to simultaneously satisfy constraints:,LayoutConstraint
jul    calvisitor---- neteasemusic[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    authormacbook-pro com.apple.webkit.webcontent[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    calvisitor---- qq[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    authormacbook-pro wechat[]: unable to simultaneously satisfy constraints:,LayoutConstraint
jul    authormacbook-pro blued[]: [bluetoothhiddevicecontroller]error: could not find the disconnected object,BluetoothError
jul    airbears2---- neteasemusic[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jul    airbears2---- qq[]: tcp_connection_handle_connect_conditions_bad  failed:  - no network route,NoNetworkRoute
jan    labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=...  user=root,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=root,SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ....broad.xy.jx.dynamic.163data.com.cn [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=root,SSHAuthFail
jan    labsz sshd[]: disconnecting: too many authentication failures for root [preauth],SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for . [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=...,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...,SSHAuthFail
dec   labsz sshd[]: disconnecting: too many authentication failures for root [preauth],SSHAuthFail
"dec   labsz sshd[]: address ... maps to mail.junlike.com, but this does not map back to the address - possible break-in attempt!",SSHPossibleBreak
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ---.user.vivozap.com.br [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=ftp,SSHAuthFail
"dec   labsz sshd[]: address ... maps to ----dedicated.multacom.com, but this does not map back to the address - possible break-in attempt!",SSHPossibleBreak
dec   labsz sshd[]: disconnecting: too many authentication failures for admin [preauth],SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ....broad.fs.gd.dynamic.163data.com.cn [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for .subnet118--.static.astinet.telkom.net.id [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=...  user=root,SSHAuthFail
dec   labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=...,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=aiq139.rev.netart.pl,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for sv121096.bkns.vn [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.hinet-ip.hinet.net,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ---.rev.poneytelecom.eu [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for static.....dsl.krasnet.ru [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ....broad.xy.jx.dynamic.163data.com.cn [...] failed - possible break-in attempt!,SSHPossibleBreak
"dec   labsz sshd[]: address ... maps to hosted-by.enoctus.com, but this does not map back to the address - possible break-in attempt!",SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for . [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ---.rev.cloud.scaleway.com [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: reverse mapping checking getaddrinfo for host229---.serverdedicati.aruba.it [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: disconnecting: too many authentication failures for service [preauth],SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=uucp,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ....static.js.chinamobile.com [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for lvhqgeek.com--512mb-fra1- [...] failed - possible break-in attempt!,SSHPossibleBreak
"dec   labsz sshd[]: address ... maps to scanning.com, but this does not map back to the address - possible break-in attempt!",SSHPossibleBreak
jan    labsz sshd[]: reverse mapping checking getaddrinfo for cost.steekpromo.com [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=www-data,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for awecsakira.planetahost.ru [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=ip----.router.siliconvalleywifi.com,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=zachary,SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for host42---.serverdedicati.aruba.it [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.ip.afrihost.co.za,SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ip----.user.vivozap.com.br [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ....broad.xw.sh.dynamic.163data.com.cn [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=git,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for host142---.serverdedicati.aruba.it [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ---.user.vivozap.com.br [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=ec2----.cn-north-.compute.amazonaws.com.cn,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for fttu----.bvunet.net [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=mysql,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=sshd,SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ....vultr.com [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for no-data [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.static.imsbiz.com,SSHAuthFail
dec   labsz sshd[]: pam  more authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=root,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ----dhcp.aoo.pa.atlanticbb.net [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for jupiter.fortinj.com [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ---.rev.cloud.scaleway.com [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ....adsl-pool.jx.chinaunicom.com [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: disconnecting: too many authentication failures for admin [preauth],SSHAuthFail
jan    labsz sshd[]: disconnecting: too many authentication failures for ubnt [preauth],SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=ip6.ip---.net,SSHAuthFail
dec   labsz sshd[]: disconnecting: too many authentication failures for support [preauth],SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for host229---.serverdedicati.aruba.it [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ---.myrepublic.com.sg [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ....broad.sm.yn.dynamic.163data.com.cn [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.rev.cloud.scaleway.com  user=root,SSHAuthFail
jan    labsz sshd[]: pam  more authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...,SSHAuthFail
"dec   labsz sshd[]: address ... maps to mail.trionis.ru, but this does not map back to the address - possible break-in attempt!",SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for adsl----.tarko-sale.ru [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for customer-----sta.uninet-ide.com.mx [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ....toledoinfo.com.br [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=uucp,SSHAuthFail
jan    labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=ip127.ip---.eu  user=root,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for .--.etapanet.net [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: reverse mapping checking getaddrinfo for host143---.serverdedicati.aruba.it [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=vimaru.edu.vn,SSHAuthFail
"jan    labsz sshd[]: address ... maps to static.vnpt.vn, but this does not map back to the address - possible break-in attempt!",SSHPossibleBreak
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=s0106802aa8cd93bf.vn.shawcable.net,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=mysql,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=static24---.r.rev.accesscomm.ca,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for host21---.serverdedicati.aruba.it [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=ns3009123.ip---.eu,SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ....static.js.chinamobile.com [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=sshd,SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ---.rev.poneytelecom.eu [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for b3d29652.virtua.com.br [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=d54c336a0.access.telenet.be  user=root,SSHAuthFail
jan    labsz sshd[]: pam  more authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=root,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=c----.hsd1.ca.comcast.net,SSHAuthFail
jan    labsz sshd[]: disconnecting: too many authentication failures for pi [preauth],SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=sys,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=git,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.dyn.iinet.net.au  user=root,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.hinet-ip.hinet.net  user=mysql,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ---.speedy.com.ar [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=---.dyn.iinet.net.au  user=root,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.dsl.telesp.net.br  user=root,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for host99---.serverdedicati.aruba.it [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=gw-bell-xen.ll-nsk.zsttk.ru,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=fixed----.totalplay.net,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for host17---.static.arubacloud.pl [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for host152---.serverdedicati.aruba.it [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.ip250.fastwebnet.it,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.rev.cloud.scaleway.com,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=top-bdii.ipm.ac.ir,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=.ctinets.com  user=root,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=nobody,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for static-host----.awasr.om [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for server1.google.com [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=cpe----.triad.res.rr.com,SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for hn.kd.ny.adsl [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.dhcp.leds.al.charter.com,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ....vultr.com [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ....broad.dq.hl.dynamic.163data.com.cn [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ....static.ttnet.com.tr [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=---.rev.cloud.scaleway.com  user=root,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=ftp,SSHAuthFail
dec   labsz sshd[]: pam  more authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=bin,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for broadband.actcorp.in [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=games,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=ns502983.ip---.net,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=anantes----.w109-.abo.wanadoo.fr,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=ip----.router.siliconvalleywifi.com  user=root,SSHAuthFail
"dec   labsz sshd[]: address ... maps to static.vnpt.vn, but this does not map back to the address - possible break-in attempt!",SSHPossibleBreak
dec   labsz sshd[]: disconnecting: too many authentication failures for usuario [preauth],SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ....triolan.net [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=server,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for host161---.serverdedicati.aruba.it [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for host166---.static.arubacloud.com [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=pom51-----.fbx.proxad.net,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=news,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ---.telebucaramanga.net.co [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for customer.worldstream.nl [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=...  user=bin,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ....broad.sz.gd.dynamic.163data.com.cn [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: disconnecting: too many authentication failures for usuario [preauth],SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for ip----.user.vivozap.com.br [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=ezecom.....ezecom.com.kh,SSHAuthFail
dec   labsz sshd[]: disconnecting: too many authentication failures for ubnt [preauth],SSHAuthFail
dec   labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=....cable.tpia.cipherkey.com  user=root,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=d51a5cccb.access.telenet.be,SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ---.speedy.com.ar [...] failed - possible break-in attempt!,SSHPossibleBreak
jan    labsz sshd[]: disconnecting: too many authentication failures for supervisor [preauth],SSHAuthFail
jan    labsz sshd[]: reverse mapping checking getaddrinfo for ....static-kolkata.vsnl.net.in [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=reb1079596.lnk.telstra.net  user=root,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=sta24-----.fbx.proxad.net,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=mta4.castlewin.trade,SSHAuthFail
jan    labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=pool----.washdc.fios.verizon.net,SSHAuthFail
jan    labsz sshd[]: disconnecting: too many authentication failures for user [preauth],SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for strategicactionframework.com.au [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=node-nmo.pool--.dynamic.totbb.net,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for host-....tedata.net [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: reverse mapping checking getaddrinfo for mx-ll-..-.dynamic.3bb.co.th [...] failed - possible break-in attempt!,SSHPossibleBreak
"dec   labsz sshd[]: address ... maps to ....magvision.com, but this does not map back to the address - possible break-in attempt!",SSHPossibleBreak
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=ec2----.us-west-.compute.amazonaws.com  user=root,SSHAuthFail
dec   labsz sshd[]: reverse mapping checking getaddrinfo for host-...-static.tedata.net [...] failed - possible break-in attempt!,SSHPossibleBreak
dec   labsz sshd[]: pam  more authentication failures; logname= uid= euid= tty=ssh ruser= rhost=ppp118---.bras1.syd2.internode.on.net  user=root,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=p4fdb1703.dip0.t-ipconnect.de  user=root,SSHAuthFail
dec   labsz sshd[]: pam_unix(sshd:auth): authentication failure; logname= uid= euid= tty=ssh ruser= rhost=host----.kabelnet.hu  user=root,SSHAuthFail
